Airline,Airline Code,Model,Manufacturer,Type,Country
Vistara,UK,A21N,Airbus,P,India
Vistara,UK,B789,Boeing,P,India
Viva Aerobus,VB,A320,Airbus,P,Mexico
Viva Aerobus,VB,A20N,Airbus,P,Mexico
Viva Aerobus,VB,A321,Airbus,P,Mexico
Viva Aerobus,VB,A21N,Airbus,P,Mexico
Volaris,Y4,A319,Airbus,P,Mexico
Volaris,Y4,A320,Airbus,P,Mexico
Volaris,Y4,A20N,Airbus,P,Mexico
Volaris,Y4,A321,Airbus,P,Mexico
Volaris,Y4,A21N,Airbus,P,Mexico
Volotea,V7,A319,Airbus,P,Spain
Volotea,V7,A320,Airbus,P,Spain
Vueling,VY,A319,Airbus,P,Spain
Vueling,VY,A320,Airbus,P,Spain
Vueling,VY,A20N,Airbus,P,Spain
Vueling,VY,A321,Airbus,P,Spain
Vueling,VY,A21N,Airbus,P,Spain
WestJet,WS,B737,Boeing,P,Canada
WestJet,WS,B738,Boeing,P,Canada
WestJet,WS,B38M,Boeing,P,Canada
WestJet,WS,B789,Boeing,P,Canada
WestJet,WS,B738,Boeing,F,Canada
Wideroe,WF,DH8A,De Havilland,P,Norway
Wideroe,WF,DH8B,De Havilland,P,Norway
Wideroe,WF,DH8C,De Havilland,P,Norway
Wideroe,WF,DH8D,De Havilland,P,Norway
Wideroe,WF,E290,Embraer,P,Norway
Wizz Air,W6,A320,Airbus,P,Hungary
Wizz Air,W6,A20N,Airbus,P,Hungary
Wizz Air,W6,A321,Airbus,P,Hungary
Wizz Air,W6,A21N,Airbus,P,Hungary
XiamenAir,MF,A20N,Airbus,P,China
XiamenAir,MF,A21N,Airbus,P,China
XiamenAir,MF,B737,Boeing,P,China
XiamenAir,MF,B738,Boeing,P,China
XiamenAir,MF,B38M,Boeing,P,China
XiamenAir,MF,B788,Boeing,P,China
XiamenAir,MF,B789,Boeing,P,China
XiamenAir,MF,B738,Boeing,F,China
Zipair,,B788,Boeing,P,Japan
FedEx Express,FX,A306,Airbus,F,United States
FedEx Express,FX,B752,Boeing,F,United States
FedEx Express,FX,B763,Boeing,F,United States
FedEx Express,FX,B77L,Boeing,F,United States
FedEx Express,FX,MD11,McDonnell Douglas,F,United States
FedEx Express,FX,AT43,ATR,F,United States
FedEx Express,FX,AT72,ATR,F,United States
FedEx Express,FX,AT76,ATR,F,United States
FedEx Express,FX,C208,Cessna,F,United States
FedEx Express,FX,C408,Cessna,F,United States
UPS Airlines,5X,A306,Airbus,F,United States
UPS Airlines,5X,B744,Boeing,F,United States
UPS Airlines,5X,B748,Boeing,F,United States
UPS Airlines,5X,B752,Boeing,F,United States
UPS Airlines,5X,B763,Boeing,F,United States
UPS Airlines,5X,MD11,McDonnell Douglas,F,United States
Atlas Air,5Y,B744,Boeing,P,United States
Atlas Air,5Y,B763,Boeing,P,United States
Atlas Air,5Y,B738,Boeing,F,United States
Atlas Air,5Y,B744,Boeing,F,United States
Atlas Air,5Y,B748,Boeing,F,United States
Atlas Air,5Y,B763,Boeing,F,United States
Atlas Air,5Y,B77L,Boeing,F,United States
Flux,CV,B744,Boeing,F,Luxembourg
Flux,CV,B748,Boeing,F,Luxembourg
Kalitta Air,K4,B744,Boeing,F,United States
Kalitta Air,K4,B77L,Boeing,F,United States
DHL,D0,AT43,ATR,F,United Kingdom
DHL,D0,A306,Airbus,F,United Kingdom
DHL,D0,A321,Airbus,F,United Kingdom
DHL,D0,A332,Airbus,F,United Kingdom
DHL,D0,A333,Airbus,F,United Kingdom
DHL,D0,B734,Boeing,F,United Kingdom
DHL,D0,B738,Boeing,F,United Kingdom
DHL,D0,B748,Boeing,F,United Kingdom
DHL,D0,B752,Boeing,F,United Kingdom
DHL,D0,B762,Boeing,F,United Kingdom
DHL,D0,B763,Boeing,F,United Kingdom
DHL,D0,B77L,Boeing,F,United Kingdom
